time_label,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20
time point 12,0.534,0.0,0.274,0.032,0.0,0.048,0.048,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0
time point 13,0.442,0.0,0.349,0.023,0.0,0.023,0.0,0.093,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.047,0.0,0.0,0.0
time point 14,0.542,0.0,0.158,0.105,0.0,0.053,0.0,0.088,0.0,0.018,0.0,0.0,0.0,0.018,0.0,0.0,0.018,0.0,0.0,0.0
time point 15,0.549,0.0,0.122,0.134,0.0,0.073,0.037,0.049,0.0,0.012,0.012,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0
time point 16,0.41,0.0,0.18,0.098,0.0,0.082,0.066,0.082,0.0,0.049,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 17,0.426,0.0,0.255,0.085,0.0,0.064,0.021,0.085,0.0,0.043,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 18,0.372,0.0,0.271,0.119,0.0,0.034,0.153,0.051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 19,0.295,0.0,0.246,0.098,0.0,0.033,0.18,0.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.066,0.0,0.0,0.0
time point 20,0.394,0.0,0.237,0.053,0.0,0.026,0.053,0.132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105,0.0,0.0,0.0
time point 21,0.604,0.0,0.256,0.047,0.0,0.0,0.023,0.047,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 22,0.539,0.0,0.286,0.079,0.0,0.0,0.048,0.032,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 23,0.588,0.0,0.25,0.074,0.0,0.0,0.044,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 24,0.569,0.0,0.207,0.138,0.0,0.0,0.034,0.052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 25,0.318,0.0,0.273,0.273,0.0,0.0,0.045,0.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 26,0.2,0.0,0.6,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 27,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time point 28,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
time point 29,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
time point 30,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
time point 31,0.415,0.0,0.276,0.069,0.0,0.069,0.034,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.103,0.0,0.0,0.0
time point 32,0.446,0.0,0.25,0.089,0.0,0.089,0.036,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054,0.0,0.0,0.0
time point 33,0.49,0.0,0.17,0.106,0.0,0.085,0.043,0.043,0.0,0.021,0.021,0.0,0.0,0.0,0.0,0.0,0.021,0.0,0.0,0.0
time point 34,0.489,0.0,0.22,0.049,0.0,0.024,0.073,0.049,0.0,0.024,0.024,0.0,0.0,0.024,0.0,0.0,0.024,0.0,0.0,0.0
